"system_index","OBJECTID","ndvi","pixel_qa",
1_1_LT05_066015_19900101,1,0.819593217,80,
1_1_LT05_066015_19900117,1,0.669654435,80,
1_1_LT05_066015_19900202,1,0.657975113,80,
1_1_LT05_066015_19900218,1,0.6656611,80,
1_1_LT05_066015_19900306,1,0.6885117,80,
1_1_LT05_066015_19900322,1,0.831352595,80,
1_1_LT05_066015_19900407,1,0.656858188,80,
1_1_LT05_066015_19900423,1,0.715665088,80,
1_1_LT05_066015_19900509,1,0.782574276,80,
1_1_LT05_066015_19900525,1,0.756331161,80,
1_1_LT05_066015_19900610,1,0.807002409,80,
1_1_LT05_066015_19900626,1,0.776421973,80,
1_1_LT05_066015_19900712,1,0.681325847,80,
1_1_LT05_066015_19900728,1,0.674662357,80,
1_1_LT05_066015_19900813,1,0.749216942,80,
1_1_LT05_066015_19900829,1,0.792010991,80,
1_1_LT05_066015_19900914,1,0.749386435,80,
1_1_LT05_066015_19900930,1,0.767482538,80,
1_1_LT05_066015_19901016,1,0.737004312,80,
1_1_LT05_066015_19901101,1,0.706256579,80,
1_1_LT05_066015_19901117,1,0.750445886,80,
1_1_LT05_066015_19901203,1,0.760051028,80,
1_1_LT05_066015_19901219,1,0.725308611,80,
1_1_LT05_066015_19910104,1,0.766022753,80,
1_1_LT05_066015_19910120,1,0.717849132,80,
1_1_LT05_066015_19910205,1,0.686761557,80,
1_1_LT05_066015_19910221,1,0.784503564,80,
1_1_LT05_066015_19910309,1,0.816124937,80,
1_1_LT05_066015_19910325,1,0.784002411,80,
1_1_LT05_066015_19910410,1,0.772500302,80,
1_1_LT05_066015_19910426,1,0.745950369,80,
1_1_LT05_066015_19910512,1,0.815651182,80,
1_1_LT05_066015_19910528,1,0.786702264,80,
1_1_LT05_066015_19910613,1,0.818664383,80,
1_1_LT05_066015_19910629,1,0.705353878,80,
1_1_LT05_066015_19910715,1,0.796199767,80,
1_1_LT05_066015_19910731,1,0.673624929,80,
1_1_LT05_066015_19910816,1,0.765409516,80,
1_1_LT05_066015_19910901,1,0.678074979,80,
1_1_LT05_066015_19910917,1,0.654873974,80,
1_1_LT05_066015_19911003,1,0.823404643,80,
1_1_LT05_066015_19911019,1,0.691246492,80,
1_1_LT05_066015_19911104,1,0.807303716,80,
1_1_LT05_066015_19911120,1,0.677199913,80,
1_1_LT05_066015_19911206,1,0.738067171,80,
1_1_LT05_066015_19911222,1,0.763384717,80,
1_1_LT05_066015_19920107,1,0.711884054,80,
1_1_LT05_066015_19920123,1,0.806724364,80,
1_1_LT05_066015_19920208,1,0.734888254,80,
1_1_LT05_066015_19920224,1,0.744190218,80,
1_1_LT05_066015_19920311,1,0.72582675,80,
1_1_LT05_066015_19920327,1,0.799194076,80,
1_1_LT05_066015_19920412,1,0.740057758,80,
1_1_LT05_066015_19920428,1,0.812959955,80,
1_1_LT05_066015_19920514,1,0.773785714,80,
1_1_LT05_066015_19920530,1,0.761827809,80,
1_1_LT05_066015_19920615,1,0.672726213,80,
1_1_LT05_066015_19920701,1,0.810181019,80,
1_1_LT05_066015_19920717,1,0.778884487,80,
1_1_LT05_066015_19920802,1,0.80716685,80,
1_1_LT05_066015_19920818,1,0.845662998,80,
1_1_LT05_066015_19920903,1,0.7641916,80,
1_1_LT05_066015_19920919,1,0.759523067,80,
1_1_LT05_066015_19921005,1,0.830325977,80,
1_1_LT05_066015_19921021,1,0.746506904,80,
1_1_LT05_066015_19921106,1,0.823226017,80,
1_1_LT05_066015_19921122,1,0.794209779,80,
1_1_LT05_066015_19921208,1,0.803252306,80,
1_1_LT05_066015_19921224,1,0.751925709,80,
1_1_LT05_066015_19930109,1,0.851738169,80,
1_1_LT05_066015_19930125,1,0.826330744,80,
1_1_LT05_066015_19930210,1,0.660793853,80,
1_1_LT05_066015_19930226,1,0.846610689,80,
1_1_LT05_066015_19930314,1,0.825849423,80,
1_1_LT05_066015_19930330,1,0.667190794,80,
1_1_LT05_066015_19930415,1,0.742713868,80,
1_1_LT05_066015_19930501,1,0.744239673,80,
1_1_LT05_066015_19930517,1,0.794932482,80,
1_1_LT05_066015_19930602,1,0.661376959,80,
1_1_LT05_066015_19930618,1,0.779876708,80,
1_1_LT05_066015_19930704,1,0.693494787,80,
1_1_LT05_066015_19930720,1,0.666131196,80,
1_1_LT05_066015_19930805,1,0.855338604,80,
1_1_LT05_066015_19930821,1,0.72280358,80,
1_1_LT05_066015_19930906,1,0.789729684,80,
1_1_LT05_066015_19930922,1,0.81236571,80,
1_1_LT05_066015_19931008,1,0.75864709,80,
1_1_LT05_066015_19931024,1,0.683842346,80,
1_1_LT05_066015_19931109,1,0.717262807,80,
1_1_LT05_066015_19931125,1,0.80677748,80,
1_1_LT05_066015_19931211,1,0.787165567,80,
1_1_LT05_066015_19931227,1,0.776963635,80,
1_1_LT05_066015_19940112,1,0.732295614,80,
1_1_LT05_066015_19940128,1,0.70331864,80,
1_1_LT05_066015_19940213,1,0.849235118,80,
1_1_LT05_066015_19940301,1,0.805185743,80,
1_1_LT05_066015_19940317,1,0.659093816,80,
1_1_LT05_066015_19940402,1,0.68285718,80,
1_1_LT05_066015_19940418,1,0.685066359,80,
1_1_LT05_066015_19940504,1,0.715732338,80,
1_1_LT05_066015_19940520,1,0.848199849,80,
1_1_LT05_066015_19940605,1,0.775292896,80,
1_1_LT05_066015_19940621,1,0.759156623,80,
1_1_LT05_066015_19940707,1,0.819400431,80,
1_1_LT05_066015_19940723,1,0.682402494,80,
1_1_LT05_066015_19940808,1,0.690479109,80,
1_1_LT05_066015_19940824,1,0.725074658,80,
1_1_LT05_066015_19940909,1,0.732162732,80,
1_1_LT05_066015_19940925,1,0.801792656,80,
1_1_LT05_066015_19941011,1,0.765626417,80,
1_1_LT05_066015_19941027,1,0.81137336,80,
1_1_LT05_066015_19941112,1,0.795333528,80,
1_1_LT05_066015_19941128,1,0.669345279,80,
1_1_LT05_066015_19941214,1,0.691133286,80,
1_1_LT05_066015_19941230,1,0.770701973,80,
1_1_LT05_066015_19950115,1,0.707232945,80,
1_1_LT05_066015_19950131,1,0.753872358,80,
1_1_LT05_066015_19950216,1,0.810202296,80,
1_1_LT05_066015_19950304,1,0.718281465,80,
1_1_LT05_066015_19950320,1,0.743735742,80,
1_1_LT05_066015_19950405,1,0.791312004,80,
1_1_LT05_066015_19950421,1,0.833707908,80,
1_1_LT05_066015_19950507,1,0.683924429,80,
1_1_LT05_066015_19950523,1,0.843484854,80,
1_1_LT05_066015_19950608,1,0.806483404,80,
1_1_LT05_066015_19950624,1,0.76633424,80,
1_1_LT05_066015_19950710,1,0.848754829,80,
1_1_LT05_066015_19950726,1,0.758476162,80,
1_1_LT05_066015_19950811,1,0.674706782,80,
1_1_LT05_066015_19950827,1,0.751880652,80,
1_1_LT05_066015_19950912,1,0.756515298,80,
1_1_LT05_066015_19950928,1,0.754011491,80,
1_1_LT05_066015_19951014,1,0.684927927,80,
1_1_LT05_066015_19951030,1,0.691702077,80,
1_1_LT05_066015_19951115,1,0.776868659,80,
1_1_LT05_066015_19951201,1,0.77357803,80,
1_1_LT05_066015_19951217,1,0.680080938,80,
1_1_LT05_066015_19960102,1,0.786689451,80,
1_1_LT05_066015_19960118,1,0.721083812,80,
1_1_LT05_066015_19960203,1,0.805576398,80,
1_1_LT05_066015_19960219,1,0.766070974,80,
1_1_LT05_066015_19960306,1,0.796409661,80,
1_1_LT05_066015_19960322,1,0.741278799,80,
1_1_LT05_066015_19960407,1,0.841381403,80,
1_1_LT05_066015_19960423,1,0.684074358,80,
1_1_LT05_066015_19960509,1,0.821522659,80,
1_1_LT05_066015_19960525,1,0.678420321,80,
1_1_LT05_066015_19960610,1,0.777717616,80,
1_1_LT05_066015_19960626,1,0.775658998,80,
1_1_LT05_066015_19960712,1,0.858761244,80,
1_1_LT05_066015_19960728,1,0.741044489,80,
1_1_LT05_066015_19960813,1,0.716055209,80,
1_1_LT05_066015_19960829,1,0.76559858,80,
1_1_LT05_066015_19960914,1,0.693697773,80,
1_1_LT05_066015_19960930,1,0.679816859,80,
1_1_LT05_066015_19961016,1,0.709801993,80,
1_1_LT05_066015_19961101,1,0.695161197,80,
1_1_LT05_066015_19961117,1,0.747094094,80,
1_1_LT05_066015_19961203,1,0.83492706,80,
1_1_LT05_066015_19961219,1,0.738272908,80,
1_1_LT05_066015_19970104,1,0.821576614,80,
1_1_LT05_066015_19970120,1,0.747071501,80,
1_1_LT05_066015_19970205,1,0.787957746,80,
1_1_LT05_066015_19970221,1,0.80263917,80,
1_1_LT05_066015_19970309,1,0.663657307,80,
1_1_LT05_066015_19970325,1,0.843017414,80,
1_1_LT05_066015_19970410,1,0.809977763,80,
1_1_LT05_066015_19970426,1,0.758088381,80,
1_1_LT05_066015_19970512,1,0.839199493,80,
1_1_LT05_066015_19970528,1,0.748748605,80,
1_1_LT05_066015_19970613,1,0.805914487,80,
1_1_LT05_066015_19970629,1,0.670791754,80,
1_1_LT05_066015_19970715,1,0.841966827,80,
1_1_LT05_066015_19970731,1,0.855722481,80,
1_1_LT05_066015_19970816,1,0.693194385,80,
1_1_LT05_066015_19970901,1,0.666219173,80,
1_1_LT05_066015_19970917,1,0.826559209,80,
1_1_LT05_066015_19971003,1,0.794903447,80,
1_1_LT05_066015_19971019,1,0.698925062,80,
1_1_LT05_066015_19971104,1,0.696301366,80,
1_1_LT05_066015_19971120,1,0.771081743,80,
1_1_LT05_066015_19971206,1,0.690300952,80,
1_1_LT05_066015_19971222,1,0.682766314,80,
1_1_LT05_066015_19980107,1,0.69980594,80,
1_1_LT05_066015_19980123,1,0.732744059,80,
1_1_LT05_066015_19980208,1,0.669755644,80,
1_1_LT05_066015_19980224,1,0.80260241,80,
1_1_LT05_066015_19980312,1,0.738514416,80,
1_1_LT05_066015_19980328,1,0.719011344,80,
1_1_LT05_066015_19980413,1,0.792810279,80,
1_1_LT05_066015_19980429,1,0.771442618,80,
1_1_LT05_066015_19980515,1,0.727060202,80,
1_1_LT05_066015_19980531,1,0.707278756,80,
1_1_LT05_066015_19980616,1,0.847353687,80,
1_1_LT05_066015_19980702,1,0.7610406,80,
1_1_LT05_066015_19980718,1,0.710299183,80,
1_1_LT05_066015_19980803,1,0.792839235,80,
1_1_LT05_066015_19980819,1,0.729206257,80,
1_1_LT05_066015_19980904,1,0.69906788,80,
1_1_LT05_066015_19980920,1,0.791816909,80,
1_1_LT05_066015_19981006,1,0.858647318,80,
1_1_LT05_066015_19981022,1,0.765677073,80,
1_1_LT05_066015_19981107,1,0.697789575,80,
1_1_LT05_066015_19981123,1,0.750881194,80,
1_1_LT05_066015_19981209,1,0.864201178,80,
1_1_LT05_066015_19981225,1,0.731708951,80,
1_1_LT05_066015_19990110,1,0.709972123,80,
1_1_LT05_066015_19990126,1,0.804978447,80,
1_1_LT05_066015_19990211,1,0.779411717,80,
1_1_LT05_066015_19990227,1,0.787639801,80,
1_1_LT05_066015_19990315,1,0.700129278,80,
1_1_LT05_066015_19990331,1,0.771707118,80,
1_1_LT05_066015_19990416,1,0.851557457,80,
1_1_LT05_066015_19990502,1,0.772893778,80,
1_1_LT05_066015_19990518,1,0.852114311,80,
1_1_LT05_066015_19990603,1,0.717059507,80,
1_1_LT05_066015_19990619,1,0.778761999,80,
1_1_LT05_066015_19990705,1,0.680155097,80,
1_1_LT05_066015_19990721,1,0.69663312,80,
1_1_LT05_066015_19990806,1,0.718871721,80,
1_1_LT05_066015_19990822,1,0.667499061,80,
1_1_LT05_066015_19990907,1,0.706301164,80,
1_1_LT05_066015_19990923,1,0.859790585,80,
1_1_LT05_066015_19991009,1,0.813325324,80,
1_1_LT05_066015_19991025,1,0.726228816,80,
1_1_LT05_066015_19991110,1,0.840316878,80,
1_1_LT05_066015_19991126,1,0.72118014,80,
1_1_LT05_066015_19991212,1,0.774667239,80,
1_1_LT05_066015_19991228,1,0.837849771,80,
1_1_LT05_066015_20000113,1,0.811474464,80,
1_1_LT05_066015_20000129,1,0.837130953,80,
1_1_LT05_066015_20000214,1,0.783407263,80,
1_1_LT05_066015_20000301,1,0.834618668,80,
1_1_LT05_066015_20000317,1,0.806260017,80,
1_1_LT05_066015_20000402,1,0.777263811,80,
1_1_LT05_066015_20000418,1,0.773064062,80,
1_1_LT05_066015_20000504,1,0.799274367,80,
1_1_LT05_066015_20000520,1,0.684261291,80,
1_1_LT05_066015_20000605,1,0.716111668,80,
1_1_LT05_066015_20000621,1,0.735674617,80,
1_1_LT05_066015_20000707,1,0.690218541,80,
1_1_LT05_066015_20000723,1,0.804589989,80,
1_1_LT05_066015_20000808,1,0.794887268,80,
1_1_LT05_066015_20000824,1,0.766170042,80,
1_1_LT05_066015_20000909,1,0.812597797,80,
1_1_LT05_066015_20000925,1,0.725293244,80,
1_1_LT05_066015_20001011,1,0.671433445,80,
1_1_LT05_066015_20001027,1,0.814236645,80,
1_1_LT05_066015_20001112,1,0.83076545,80,
1_1_LT05_066015_20001128,1,0.744612343,80,
1_1_LT05_066015_20001214,1,0.71608761,80,
1_1_LT05_066015_20001230,1,0.804632214,80,
